ExclusiveDiverging_ParallelConverging;camunda710;errors;1;0;3;1
InclusiveDiverging_ParallelConverging;camunda710;errors;1;0;3;1
ParallelGateway_Conditions;camunda710;errors;1;0;4;1
Cancel_Event;camunda710;events;1;0;1;1
Compensation_BoundaryEvent_SubProcess;camunda710;events;0;1;1;1
Compensation_EndEvent_SubProcess;camunda710;events;0;1;1;1
Compensation_EndEvent_TopLevel;camunda710;events;0;1;1;1
Compensation_IntermediateEvent;camunda710;events;1;0;1;1
Compensation_StartEvent_EventSubProcess;camunda710;events;0;1;1;1
Compensation_TriggeredByCancel;camunda710;events;1;0;1;1
Conditional_BoundaryEvent_SubProcess_Interrupting;camunda710;events;0;2;2;1
Conditional_BoundaryEvent_SubProcess_NonInterrupting;camunda710;events;0;2;2;1
Conditional_IntermediateEvent;camunda710;events;0;2;2;1
Conditional_StartEvent_EventSubProcess_Interrupting;camunda710;events;0;1;1;1
Conditional_StartEvent_EventSubProcess_NonInterrupting;camunda710;events;0;1;1;1
Error_BoundaryEvent_SubProcess_Interrupting;camunda710;events;1;0;1;1
Error_BoundaryEvent_Transaction_Interrupting;camunda710;events;1;0;1;1
Error_EndEvent_TopLevel;camunda710;events;1;0;1;1
Error_StartEvent_EventSubProcess_Interrupting;camunda710;events;1;0;1;1
Escalation_BoundaryEvent_SubProcess_Interrupting;camunda710;events;0;1;1;1
Escalation_BoundaryEvent_SubProcess_NonInterrupting;camunda710;events;0;1;1;1
Escalation_EndEvent_SubProcess;camunda710;events;0;1;1;1
Escalation_EndEvent_TopLevel;camunda710;events;0;1;1;1
Escalation_IntermediateThrowEvent;camunda710;events;0;1;1;1
Escalation_StartEvent_EventSubProcess_Interrupting;camunda710;events;0;1;1;1
Escalation_StartEvent_EventSubProcess_NonInterrupting;camunda710;events;0;1;1;1
Link_Event;camunda710;events;1;0;1;1
Signal_BoundaryEvent_SubProcess_Interrupting;camunda710;events;0;1;1;1
Signal_BoundaryEvent_SubProcess_NonInterrupting;camunda710;events;1;0;1;1
Signal_EndEvent_SubProcess;camunda710;events;1;0;1;1
Signal_IntermediateEvent_ThrowAndCatch;camunda710;events;1;0;1;1
Signal_StartEvent_EventSubProcess_Interrupting;camunda710;events;0;1;1;1
Signal_StartEvent_EventSubProcess_NonInterrupting;camunda710;events;1;0;1;1
Terminate_Event;camunda710;events;1;0;1;1
Timer_BoundaryEvent_SubProcess_Interrupting;camunda710;events;1;0;1;1
Timer_BoundaryEvent_SubProcess_NonInterrupting;camunda710;events;1;0;1;1
Timer_IntermediateEvent;camunda710;events;1;0;1;1
Timer_StartEvent_EventSubProcess_Interrupting;camunda710;events;1;0;1;1
Timer_StartEvent_EventSubProcess_NonInterrupting;camunda710;events;1;0;1;1
ComplexGateway;camunda710;gateways;0;4;4;1
EventBasedGateway_Signals;camunda710;gateways;1;0;1;1
EventBasedGateway_Timer;camunda710;gateways;1;0;1;1
ExclusiveDiverging_InclusiveConverging;camunda710;gateways;1;0;3;1
ExclusiveGatewayMixed;camunda710;gateways;1;0;3;1
ExclusiveGateway;camunda710;gateways;1;0;4;1
ExclusiveGateway_Default;camunda710;gateways;1;0;4;1
InclusiveDiverging_ExclusiveConverging;camunda710;gateways;1;0;3;1
InclusiveGateway;camunda710;gateways;1;0;4;1
InclusiveGateway_Default;camunda710;gateways;1;0;1;1
ParallelDiverging_ExclusiveConverging;camunda710;gateways;1;0;1;1
ParallelDiverging_InclusiveConverging;camunda710;gateways;1;0;1;1
ParallelGateway;camunda710;gateways;1;0;1;1
CallActivity_GlobalTask;jbpm;activities;0;1;1;1
CallActivity_Process;jbpm;activities;0;1;1;1
LoopTask_LoopMaximum;jbpm;activities;0;1;1;1
LoopTask_NoIteration_TestBeforeFalse;jbpm;activities;1;0;1;1
LoopTask_NoIteration_TestBeforeTrue;jbpm;activities;0;1;1;1
MultiInstanceTask_AllBehavior;jbpm;activities;0;1;1;1
